,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
46,Cosmaline Local,400572,119901,3,0.2525,0.2525,2024-03-05,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
47,Cosmaline Local,400572,119901,1,0.2525,0.2525,2024-03-05,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
48,Cosmaline Local,400572,119901,1,0.2525,0.2525,2024-03-05,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
49,Cosmaline Local,400406,119901,1,0.2315,0.2525,2024-03-05,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
50,Cosmaline Local,400596,119901,2,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
51,Cosmaline Local,400448,119901,6,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
52,Cosmaline Local,400741,119901,4,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
53,Cosmaline Local,400770,119901,5,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
54,Cosmaline Local,400770,119901,1,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
55,Cosmaline Local,400596,119901,2,0.2525,0.2525,2024-03-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
56,Cosmaline Local,396558,119901,1,0.246,0.2525,2024-02-15,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
57,Cosmaline Local,398043,119901,2,0.2525,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
58,Cosmaline Local,398015,119901,1,0.2145,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
59,Cosmaline Local,398043,119901,2,0.2525,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
60,Cosmaline Local,397985,119901,3,0.198,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
61,Cosmaline Local,397907,119901,1,0.2525,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
62,Cosmaline Local,397907,119901,1,0.2525,0.2525,2024-02-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
63,Cosmaline Local,398388,119901,1,0.202,0.2525,2024-02-15,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
64,Cosmaline Local,398274,119901,1,0.2145,0.2525,2024-02-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
65,Cosmaline Local,398274,119901,1,0.2145,0.2525,2024-02-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
66,Cosmaline Local,398471,119901,5,0.2145,0.2525,2024-02-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
67,Cosmaline Local,398471,119901,2,0.2145,0.2525,2024-02-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
68,Cosmaline Local,398635,119901,1,0.2145,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
69,Cosmaline Local,398635,119901,1,0.2145,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
70,Cosmaline Local,398625,119901,4,0.2145,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
71,Cosmaline Local,398578,119901,1,0.2145,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
72,Cosmaline Local,398568,119901,3,0.2525,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
73,Cosmaline Local,398556,119901,2,0.2525,0.2525,2024-02-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
74,Cosmaline Local,398507,119901,1,0.2145,0.2525,2024-02-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
75,Cosmaline Local,398507,119901,5,0.2145,0.2525,2024-02-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
76,Cosmaline Local,398603,119901,2,0.266,0.266,2024-02-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
77,Cosmaline Local,398867,119901,2,0.1815,0.2525,2024-02-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
78,Cosmaline Local,398866,119901,3,0.2525,0.2525,2024-02-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
79,Cosmaline Local,398866,119901,4,0.2525,0.2525,2024-02-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
80,Cosmaline Local,398866,119901,3,0.2525,0.2525,2024-02-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
81,Cosmaline Local,399168,119901,1,0.2055,0.2525,2024-02-15,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
82,Cosmaline Local,399314,119901,1,0.2525,0.2525,2024-02-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
83,Cosmaline Local,399331,119901,4,0.2525,0.2525,2024-02-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
84,Cosmaline Local,399331,119901,1,0.2525,0.2525,2024-02-17,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
85,Cosmaline Local,399274,119901,1,0.2145,0.2525,2024-02-20,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
86,Cosmaline Local,399274,119901,1,0.2145,0.2525,2024-02-20,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
87,Cosmaline Local,399263,119901,1,0.2115,0.2525,2024-02-22,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
88,Cosmaline Local,398962,119901,5,0.2525,0.2525,2024-02-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
89,Cosmaline Local,398962,119901,2,0.2525,0.2525,2024-02-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
90,Cosmaline Local,398962,119901,2,0.2525,0.2525,2024-02-27,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
91,Cosmaline Local,395813,119901,1,0.2525,0.2525,2024-01-10,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
