ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268818,2024-03-02,0.0,USD,7.85,2024-03-05,0603245MM,400417.0
11150.0,8596268832,2024-03-02,0.0,USD,24.365,2024-03-05,0603245MM,400431.0
11150.0,8596268848,2024-03-02,0.0,USD,15.785,2024-03-05,0603245MM,400447.0
11150.0,8596268850,2024-03-02,0.0,USD,12.525,2024-03-05,0603245MM,400449.0
11150.0,8596268854,2024-03-02,0.0,USD,27.775,2024-03-05,0603245MM,400453.0
11150.0,8596268857,2024-03-02,0.0,USD,16.375,2024-03-05,0603245MM,400456.0
11150.0,8596268860,2024-03-02,0.0,USD,13.355,2024-03-05,0603245MM,400459.0
11150.0,8596268862,2024-03-02,0.0,USD,32.61,2024-03-05,0603245MM,400461.0
11150.0,8596268871,2024-03-02,0.0,USD,6.405,2024-03-05,0603245MM,400470.0
11150.0,8596268884,2024-03-02,0.0,USD,13.21,2024-03-05,0603245MM,400483.0
11150.0,8596268885,2024-03-02,0.0,USD,5.595,2024-03-05,0603245MM,400484.0
11150.0,8596268889,2024-03-02,0.0,USD,6.5,2024-03-05,0603245MM,400488.0
11150.0,8596268891,2024-03-02,0.0,USD,13.71,2024-03-05,0603245MM,400490.0
11150.0,8596268892,2024-03-02,0.0,USD,10.95,2024-03-05,0603245MM,400491.0
11150.0,8596268894,2024-03-02,0.0,USD,10.06,2024-03-05,0603245MM,400493.0
11150.0,8596268900,2024-03-02,0.0,USD,5.2,2024-03-05,0603245MM,400499.0
11150.0,8596268901,2024-03-02,0.0,USD,6.17,2024-03-05,0603245MM,400500.0
11150.0,8596268904,2024-03-02,0.0,USD,11.49,2024-03-05,0603245MM,400503.0
11150.0,8596268905,2024-03-02,0.0,USD,5.175,2024-03-05,0603245MM,400504.0
11150.0,8596268907,2024-03-02,0.0,USD,8.96,2024-03-05,0603245MM,400506.0
11150.0,8596268944,2024-03-02,0.0,USD,11.645,2024-03-05,0603245MM,400543.0
11150.0,8596268948,2024-03-02,0.0,USD,10.735,2024-03-05,0603245MM,400547.0
11150.0,8596268949,2024-03-02,0.0,USD,10.52,2024-03-05,0603245MM,400548.0
11150.0,8596268968,2024-03-02,0.0,USD,7.725,2024-03-05,0603245MM,400567.0
11150.0,8596268972,2024-03-02,0.0,USD,12.11,2024-03-05,0603245MM,400571.0
11150.0,8596268981,2024-03-02,0.0,USD,10.71,2024-03-05,0603245MM,400580.0
11150.0,8596268982,2024-03-02,0.0,USD,5.36,2024-03-05,0603245MM,400581.0
11150.0,8596268985,2024-03-02,465847.5,LBP,0.0,2024-03-05,0603245MM,400584.0
11150.0,8596268734,2024-03-04,774622.5,LBP,0.0,2024-03-05,0603245MM,400333.0
11150.0,8596268735,2024-03-04,1388592.5,LBP,0.0,2024-03-05,0603245MM,400334.0
11150.0,8596268743,2024-03-04,2127415.0,LBP,0.0,2024-03-05,0603245MM,400342.0
11150.0,8596268745,2024-03-04,384850.0,LBP,0.0,2024-03-05,0603245MM,400344.0
11150.0,8596268750,2024-03-04,572800.0,LBP,0.0,2024-03-05,0603245MM,400349.0
11150.0,8596268770,2024-03-04,1252105.0,LBP,0.0,2024-03-05,0603245MM,400369.0
11150.0,8596268796,2024-03-04,1196615.0,LBP,0.0,2024-03-05,0603245MM,400395.0
11150.0,8596268811,2024-03-04,874862.5,LBP,0.0,2024-03-05,0603245MM,400410.0
11150.0,8596268813,2024-03-04,1454375.0,LBP,0.0,2024-03-05,0603245MM,400412.0
11150.0,8596268819,2024-03-04,2885032.5,LBP,0.0,2024-03-05,0603245MM,400418.0
11150.0,8596268833,2024-03-04,2073267.5,LBP,0.0,2024-03-05,0603245MM,400432.0
11150.0,8596268834,2024-03-04,0.0,USD,6.075,2024-03-05,0603245MM,400433.0
11150.0,8596268837,2024-03-04,0.0,USD,23.56,2024-03-05,0603245MM,400436.0
11150.0,8596268838,2024-03-04,0.0,USD,2.075,2024-03-05,0603245MM,400437.0
11150.0,8596268845,2024-03-04,0.0,USD,2.75,2024-03-05,0603245MM,400444.0
11150.0,8596268859,2024-03-04,0.0,USD,16.87,2024-03-05,0603245MM,400458.0
11150.0,8596268867,2024-03-04,0.0,USD,10.145,2024-03-05,0603245MM,400466.0
11150.0,8596268870,2024-03-04,0.0,USD,3.755,2024-03-05,0603245MM,400469.0
11150.0,8596268872,2024-03-04,0.0,USD,7.93,2024-03-05,0603245MM,400471.0
11150.0,8596268875,2024-03-04,0.0,USD,21.265,2024-03-05,0603245MM,400474.0
11150.0,8596268878,2024-03-04,0.0,USD,18.425,2024-03-05,0603245MM,400477.0
11150.0,8596268879,2024-03-04,0.0,USD,7.4,2024-03-05,0603245MM,400478.0
11150.0,8596268880,2024-03-04,0.0,USD,7.3,2024-03-05,0603245MM,400479.0
11150.0,8596268881,2024-03-04,0.0,USD,6.72,2024-03-05,0603245MM,400480.0
11150.0,8596268882,2024-03-04,0.0,USD,12.365,2024-03-05,0603245MM,400481.0
11150.0,8596268883,2024-03-04,0.0,USD,29.69,2024-03-05,0603245MM,400482.0
11150.0,8596268887,2024-03-04,0.0,USD,13.895,2024-03-05,0603245MM,400486.0
11150.0,8596268888,2024-03-04,0.0,USD,6.23,2024-03-05,0603245MM,400487.0
11150.0,8596268890,2024-03-04,0.0,USD,10.485,2024-03-05,0603245MM,400489.0
11150.0,8596268893,2024-03-04,0.0,USD,10.82,2024-03-05,0603245MM,400492.0
11150.0,8596268895,2024-03-04,0.0,USD,14.015,2024-03-05,0603245MM,400494.0
11150.0,8596268896,2024-03-04,0.0,USD,5.45,2024-03-05,0603245MM,400495.0
11150.0,8596268898,2024-03-04,0.0,USD,8.4,2024-03-05,0603245MM,400497.0
11150.0,8596268899,2024-03-04,0.0,USD,5.86,2024-03-05,0603245MM,400498.0
11150.0,8596268902,2024-03-04,0.0,USD,5.46,2024-03-05,0603245MM,400501.0
11150.0,8596268908,2024-03-04,0.0,USD,7.75,2024-03-05,0603245MM,400507.0
11150.0,8596268941,2024-03-04,0.0,USD,7.16,2024-03-05,0603245MM,400540.0
11150.0,8596268946,2024-03-04,0.0,USD,3.67,2024-03-05,0603245MM,400545.0
11150.0,8596268950,2024-03-04,0.0,USD,40.05,2024-03-05,0603245MM,400549.0
11150.0,8596268952,2024-03-04,0.0,USD,18.745,2024-03-05,0603245MM,400551.0
11150.0,8596268953,2024-03-04,0.0,USD,9.95,2024-03-05,0603245MM,400552.0
11150.0,8596268967,2024-03-04,0.0,USD,10.1,2024-03-05,0603245MM,400566.0
11150.0,8596268969,2024-03-04,0.0,USD,7.36,2024-03-05,0603245MM,400568.0
11150.0,8596268970,2024-03-04,0.0,USD,6.225,2024-03-05,0603245MM,400569.0
11150.0,8596268974,2024-03-04,0.0,USD,8.0,2024-03-05,0603245MM,400573.0
11150.0,8596268672,2024-03-01,0.0,USD,29.0,2024-03-08,1103245TT,400271.0
11150.0,8596268678,2024-03-01,0.0,USD,3.6,2024-03-08,1103245TT,400277.0
11150.0,8596268680,2024-03-01,0.0,USD,7.05,2024-03-08,1103245TT,400279.0
11150.0,8596268686,2024-03-01,0.0,USD,18.06,2024-03-08,1103245TT,400285.0
11150.0,8596268695,2024-03-01,0.0,USD,10.6,2024-03-08,1103245TT,400294.0
11150.0,8596268697,2024-03-01,0.0,USD,10.65,2024-03-08,1103245TT,400296.0
11150.0,8596268703,2024-03-01,0.0,USD,10.625,2024-03-08,1103245TT,400302.0
11150.0,8596268709,2024-03-01,0.0,USD,9.95,2024-03-08,1103245TT,400308.0
11150.0,8596268712,2024-03-01,0.0,USD,13.135,2024-03-08,1103245TT,400311.0
11150.0,8596268800,2024-03-01,0.0,USD,18.69,2024-03-08,1103245TT,400399.0
11150.0,8596268801,2024-03-01,0.0,USD,4.675,2024-03-08,1103245TT,400400.0
11150.0,8596268803,2024-03-01,0.0,USD,13.975,2024-03-08,1103245TT,400402.0
11150.0,8596268688,2024-03-02,0.0,USD,4.505,2024-03-08,1103245TT,400287.0
11150.0,8596268692,2024-03-02,0.0,USD,15.135,2024-03-08,1103245TT,400291.0
11150.0,8596268704,2024-03-02,0.0,USD,16.045,2024-03-08,1103245TT,400303.0
11150.0,8596268809,2024-03-02,0.0,USD,6.92,2024-03-08,1103245TT,400408.0
11150.0,8596268916,2024-03-02,0.0,USD,3.425,2024-03-08,1103245TT,400515.0
11150.0,8596268917,2024-03-02,0.0,USD,7.45,2024-03-08,1103245TT,400516.0
11150.0,8596268919,2024-03-02,0.0,USD,9.35,2024-03-08,1103245TT,400518.0
11150.0,8596268922,2024-03-02,0.0,USD,5.42,2024-03-08,1103245TT,400521.0
11150.0,8596268923,2024-03-02,0.0,USD,35.11,2024-03-08,1103245TT,400522.0
11150.0,8596268926,2024-03-02,0.0,USD,6.245,2024-03-08,1103245TT,400525.0
11150.0,8596268927,2024-03-02,0.0,USD,12.435,2024-03-08,1103245TT,400526.0
11150.0,8596268930,2024-03-02,0.0,USD,3.675,2024-03-08,1103245TT,400529.0
11150.0,8596268932,2024-03-02,0.0,USD,6.44,2024-03-08,1103245TT,400531.0
11150.0,8596268937,2024-03-02,0.0,USD,5.74,2024-03-08,1103245TT,400536.0
11150.0,8596268959,2024-03-02,0.0,USD,7.205,2024-03-08,1103245TT,400558.0
11150.0,8596268961,2024-03-02,0.0,USD,5.37,2024-03-08,1103245TT,400560.0
11150.0,8596268965,2024-03-02,0.0,USD,5.63,2024-03-08,1103245TT,400564.0
11150.0,8596268670,2024-03-04,0.0,USD,4.185,2024-03-08,1103245TT,400269.0
11150.0,8596268681,2024-03-04,0.0,USD,22.59,2024-03-08,1103245TT,400280.0
11150.0,8596268682,2024-03-04,0.0,USD,2.0,2024-03-08,1103245TT,400281.0
